Year,State,Brand,Share_Percent,Total_Claims
2022,AE,Ozempic,33.3,48
2022,AE,Trulicity,66.7,96
2022,AK,Mounjaro,3.1,50
2022,AK,Ozempic,53.2,860
2022,AK,Rybelsus,7.8,126
2022,AK,Trulicity,35.9,581
2022,AL,Mounjaro,1.6,1703
2022,AL,Ozempic,47.2,50759
2022,AL,Rybelsus,6.6,7067
2022,AL,Trulicity,44.6,48013
2022,AP,Mounjaro,1.7,12
2022,AP,Ozempic,6.7,48
2022,AP,Rybelsus,1.5,11
2022,AP,Trulicity,90.1,646
2022,AR,Mounjaro,1.5,366
2022,AR,Ozempic,51.8,12257
2022,AR,Rybelsus,2.8,657
2022,AR,Trulicity,43.9,10405
2022,AZ,Mounjaro,0.2,82
2022,AZ,Ozempic,39.4,13991
2022,AZ,Rybelsus,4.4,1563
2022,AZ,Trulicity,55.9,19857
2022,CA,Mounjaro,0.7,2355
2022,CA,Ozempic,36.4,119922
2022,CA,Rybelsus,11.0,36369
2022,CA,Trulicity,51.8,170679
2022,CO,Mounjaro,1.0,175
2022,CO,Ozempic,30.1,5058
2022,CO,Rybelsus,3.0,512
2022,CO,Trulicity,65.8,11066
2022,CT,Mounjaro,0.9,431
2022,CT,Ozempic,47.9,21978
2022,CT,Rybelsus,4.6,2111
2022,CT,Trulicity,46.5,21320
2022,DC,Ozempic,27.1,864
2022,DC,Rybelsus,3.1,99
2022,DC,Trulicity,69.8,2222
2022,DE,Ozempic,46.6,5705
2022,DE,Rybelsus,5.2,637
2022,DE,Trulicity,48.2,5907
2022,FL,Mounjaro,0.6,1187
2022,FL,Ozempic,45.5,87408
2022,FL,Rybelsus,6.4,12210
2022,FL,Trulicity,47.6,91459
2022,GA,Mounjaro,0.9,1114
2022,GA,Ozempic,44.8,53670
2022,GA,Rybelsus,6.8,8106
2022,GA,Trulicity,47.5,56991
2022,HI,Mounjaro,0.4,44
2022,HI,Ozempic,55.6,5575
2022,HI,Rybelsus,8.7,872
2022,HI,Trulicity,35.3,3537
2022,IA,Mounjaro,0.2,55
2022,IA,Ozempic,57.8,15187
2022,IA,Rybelsus,2.5,668
2022,IA,Trulicity,39.5,10383
2022,ID,Mounjaro,0.5,47
2022,ID,Ozempic,43.9,4538
2022,ID,Rybelsus,3.8,397
2022,ID,Trulicity,51.8,5345
2022,IL,Mounjaro,0.3,282
2022,IL,Ozempic,44.7,42648
2022,IL,Rybelsus,6.8,6466
2022,IL,Trulicity,48.2,46038
2022,IN,Mounjaro,1.6,1245
2022,IN,Ozempic,42.8,33623
2022,IN,Rybelsus,4.7,3681
2022,IN,Trulicity,50.9,39938
2022,KS,Mounjaro,1.1,284
2022,KS,Ozempic,51.6,13656
2022,KS,Rybelsus,4.0,1071
2022,KS,Trulicity,43.3,11444
2022,KY,Mounjaro,1.8,1099
2022,KY,Ozempic,43.1,26346
2022,KY,Rybelsus,5.9,3598
2022,KY,Trulicity,49.3,30137
2022,LA,Mounjaro,1.9,1689
2022,LA,Ozempic,38.6,33493
2022,LA,Rybelsus,4.1,3556
2022,LA,Trulicity,55.4,48109
2022,MA,Mounjaro,0.7,821
2022,MA,Ozempic,25.1,31139
2022,MA,Rybelsus,2.8,3482
2022,MA,Trulicity,71.4,88520
2022,MD,Mounjaro,0.4,163
2022,MD,Ozempic,37.5,14250
2022,MD,Rybelsus,3.5,1333
2022,MD,Trulicity,58.6,22270
2022,ME,Mounjaro,1.7,98
2022,ME,Ozempic,31.7,1874
2022,ME,Rybelsus,2.8,165
2022,ME,Trulicity,63.9,3784
2022,MI,Mounjaro,0.6,557
2022,MI,Ozempic,33.6,32517
2022,MI,Rybelsus,3.6,3472
2022,MI,Trulicity,62.2,60162
2022,MN,Mounjaro,0.4,82
2022,MN,Ozempic,50.2,10733
2022,MN,Rybelsus,5.5,1183
2022,MN,Trulicity,43.8,9362
2022,MO,Mounjaro,0.7,497
2022,MO,Ozempic,49.1,37441
2022,MO,Rybelsus,5.3,4034
2022,MO,Trulicity,44.9,34257
2022,MS,Mounjaro,0.9,365
2022,MS,Ozempic,51.3,20382
2022,MS,Rybelsus,6.2,2448
2022,MS,Trulicity,41.7,16557
2022,MT,Ozempic,49.9,2221
2022,MT,Rybelsus,1.3,57
2022,MT,Trulicity,48.8,2170
2022,NC,Mounjaro,0.6,833
2022,NC,Ozempic,52.2,74482
2022,NC,Rybelsus,7.5,10668
2022,NC,Trulicity,39.7,56716
2022,ND,Mounjaro,0.8,42
2022,ND,Ozempic,68.0,3714
2022,ND,Rybelsus,3.1,171
2022,ND,Trulicity,28.1,1534
2022,NE,Mounjaro,1.0,110
2022,NE,Ozempic,40.2,4531
2022,NE,Rybelsus,3.8,431
2022,NE,Trulicity,55.0,6209
2022,NH,Mounjaro,2.2,225
2022,NH,Ozempic,39.3,4093
2022,NH,Rybelsus,3.7,384
2022,NH,Trulicity,54.9,5720
2022,NJ,Mounjaro,0.5,475
2022,NJ,Ozempic,42.8,38891
2022,NJ,Rybelsus,7.5,6770
2022,NJ,Trulicity,49.2,44732
2022,NM,Mounjaro,0.1,13
2022,NM,Ozempic,31.0,4026
2022,NM,Rybelsus,4.9,640
2022,NM,Trulicity,63.9,8293
2022,NV,Mounjaro,1.5,277
2022,NV,Ozempic,44.6,8398
2022,NV,Rybelsus,5.1,965
2022,NV,Trulicity,48.8,9203
2022,NY,Mounjaro,0.9,2696
2022,NY,Ozempic,39.0,121257
2022,NY,Rybelsus,8.4,26191
2022,NY,Trulicity,51.7,160490
2022,OH,Mounjaro,0.5,515
2022,OH,Ozempic,32.0,34805
2022,OH,Rybelsus,3.4,3693
2022,OH,Trulicity,64.2,69882
2022,OK,Mounjaro,0.9,367
2022,OK,Ozempic,56.2,22886
2022,OK,Rybelsus,2.2,892
2022,OK,Trulicity,40.7,16548
2022,OR,Mounjaro,0.2,26
2022,OR,Ozempic,43.4,6099
2022,OR,Rybelsus,3.1,436
2022,OR,Trulicity,53.3,7499
2022,PA,Mounjaro,0.4,860
2022,PA,Ozempic,38.4,75002
2022,PA,Rybelsus,4.6,9026
2022,PA,Trulicity,56.6,110522
2022,PR,Mounjaro,0.4,93
2022,PR,Ozempic,15.7,3879
2022,PR,Rybelsus,2.5,607
2022,PR,Trulicity,81.5,20119
2022,RI,Ozempic,31.9,2243
2022,RI,Rybelsus,4.7,331
2022,RI,Trulicity,63.3,4448
2022,SC,Mounjaro,1.0,568
2022,SC,Ozempic,43.9,24152
2022,SC,Rybelsus,4.5,2486
2022,SC,Trulicity,50.5,27758
2022,SD,Mounjaro,0.8,59
2022,SD,Ozempic,62.6,4642
2022,SD,Rybelsus,3.5,257
2022,SD,Trulicity,33.1,2456
2022,TN,Mounjaro,1.8,1497
2022,TN,Ozempic,46.8,38344
2022,TN,Rybelsus,4.9,4001
2022,TN,Trulicity,46.5,38132
2022,TX,Mounjaro,1.1,3047
2022,TX,Ozempic,47.3,127818
2022,TX,Rybelsus,6.9,18698
2022,TX,Trulicity,44.6,120392
2022,UT,Mounjaro,1.0,61
2022,UT,Ozempic,32.8,2074
2022,UT,Rybelsus,1.6,103
2022,UT,Trulicity,64.6,4076
2022,VA,Mounjaro,0.6,357
2022,VA,Ozempic,33.9,19728
2022,VA,Rybelsus,3.0,1759
2022,VA,Trulicity,62.4,36273
2022,VI,Ozempic,5.3,27
2022,VI,Rybelsus,44.8,230
2022,VI,Trulicity,49.9,256
2022,VT,Mounjaro,0.5,23
2022,VT,Ozempic,45.2,2190
2022,VT,Rybelsus,6.3,307
2022,VT,Trulicity,48.0,2323
2022,WA,Mounjaro,0.3,84
2022,WA,Ozempic,52.5,13643
2022,WA,Rybelsus,4.0,1048
2022,WA,Trulicity,43.2,11215
2022,WI,Mounjaro,0.5,238
2022,WI,Ozempic,37.6,18049
2022,WI,Rybelsus,3.0,1432
2022,WI,Trulicity,59.0,28339
2022,WV,Mounjaro,0.7,189
2022,WV,Ozempic,43.1,11978
2022,WV,Rybelsus,4.5,1244
2022,WV,Trulicity,51.7,14369
2022,WY,Ozempic,47.2,519
2022,WY,Trulicity,52.8,580
2023,AE,Mounjaro,5.5,11
2023,AE,Ozempic,47.3,95
2023,AE,Trulicity,47.3,95
2023,AK,Mounjaro,19.3,643
2023,AK,Ozempic,58.2,1934
2023,AK,Rybelsus,4.1,137
2023,AK,Trulicity,18.3,609
2023,AL,Mounjaro,25.3,53447
2023,AL,Ozempic,42.7,90230
2023,AL,Rybelsus,5.7,12084
2023,AL,Trulicity,26.3,55557
2023,AP,Mounjaro,15.3,124
2023,AP,Ozempic,13.7,111
2023,AP,Rybelsus,1.9,15
2023,AP,Trulicity,69.1,558
2023,AR,Mounjaro,20.3,12943
2023,AR,Ozempic,52.7,33554
