State,Mounjaro_2022,Mounjaro_2023,Mounjaro_YoY_Change,D10_Volume,Novo_Share_D10,Lilly_Share_D10,Tier,Tier_Color
AL,1.6,25.3,23.7,211318,48.4,51.6,2. Southern Battleground,Orange
LA,1.9,23.7,21.8,195185,45.4,54.6,2. Southern Battleground,Orange
AR,1.5,20.3,18.8,63722,55.0,45.0,2. Southern Battleground,Orange
IN,1.6,19.9,18.3,158848,47.8,52.2,2. Southern Battleground,Orange
GA,0.9,18.9,18.0,244142,52.2,47.8,2. Southern Battleground,Orange
KY,1.8,19.6,17.8,129388,52.0,48.0,2. Southern Battleground,Orange
OK,0.9,18.1,17.2,109880,55.5,44.5,2. Southern Battleground,Orange
SC,1.0,18.1,17.1,104180,50.0,50.0,2. Southern Battleground,Orange
TN,1.8,17.2,15.4,161248,54.7,45.3,2. Southern Battleground,Orange
TX,1.1,16.1,15.0,516442,57.0,43.0,1. Stronghold Defense,Green
